"official_meet_name","meet","date","week","flg_5k","missing","alternative","alternative_boys","alternative_girls"
"Beresford XC Invite","beresford","2025-08-28",1,1,0,0,,
"John Collignon Invitational","madison","2025-08-28",1,1,0,0,,
"Milbank Breathe Easy","milbank_be","2025-08-28",1,0,0,0,,
"Mitchell Invitational","mitchell","2025-08-28",1,1,0,0,,
"North Central Invitational","bowdle","2025-08-28",1,0,0,0,,
"O'Gorman XC Invite","ogorman","2025-08-28",1,0,0,0,,
"Douglas Early Bird","douglas","2025-08-29",1,1,0,0,,
"Mack Butler Invitational","mackbutler","2025-08-29",1,1,0,0,,
"Pierre Invitational","pierre","2025-08-29",1,0,1,0,,
"Winner XC Invite","winner","2025-08-29",1,1,0,0,,
"Dakota Valley XC Invite","dakota_valley","2025-09-02",1,1,0,0,,
"Gregory XC Invite","gregory","2025-09-02",1,1,0,0,,
"McCook Central-Montrose XC Invite","mccook","2025-09-02",1,1,0,0,,
"Mile High Preview","deadwood","2025-09-02",1,0,0,0,,
"Redhawk Run","hendricks","2025-09-02",1,1,0,0,,
"Redfield Pheasants Invite","redfield","2025-09-04",1,1,0,0,,
"Augustana Twilight XC Meet","augie","2025-09-05",1,1,0,0,,
"Mahpiya Luta Owayawa Invite","redcloud","2025-09-05",1,1,0,0,,
"Marlene Gustafson Ryan Day Invite","faith","2025-09-05",1,1,0,0,,
"Northern Hills Invitational","spearfish","2025-09-05",1,1,0,0,,
"Don Ray Invitational","deubrook","2025-09-06",1,1,0,0,,
"Scotland Invitational","scotland","2025-09-08",2,1,0,0,,
"Jesse James XC Meet","garretson","2025-09-09",2,1,0,0,,
"Britton-Hecla Invitational","britton","2025-09-09",2,1,0,0,,
"Canton XC Invite","canton","2025-09-09",2,1,0,0,,
"Freeman Academy Marion Invite","freeman_academy","2025-09-10",2,1,0,0,,
"Hoven Greyhound Invitational","hoven","2025-09-10",2,1,0,0,,
"Belle Fourche Invitational","belle","2025-09-11",2,1,0,0,,
"DeSmet Invite","desmet","2025-09-11",2,1,0,0,,
"Sahli-Salmi Invitational","aberdeen","2025-09-11",2,1,0,0,,
"Bennett County XC Invitational","bennett_county","2025-09-12",2,1,0,0,,
"Heartland Preview","heartland_preview","2025-09-13",2,1,0,0,,
"Ipswich XC Meet","ipswich","2025-09-13",2,1,0,0,,
"Lynx XC Invite","brandon","2025-09-13",2,1,0,0,,
"The Bank Invite","milbank_bank","2025-09-13",2,1,0,0,,
"Arlington Invitational","arlington","2025-09-15",3,1,0,0,,
"V-H/SLCC Meet","viborg","2025-09-15",3,1,0,0,,
"Wagner Invitational","wagner","2025-09-15",3,1,0,0,,
"Webster Invitational","webster","2025-09-15",3,1,0,0,,
"White River Presige Run","white_river","2025-09-15",3,1,0,0,,
"Flyer Invite","freeman_flyer","2025-09-17",3,1,0,0,,
"MVP XC Invite","plankinton","2025-09-17",3,1,0,0,,
"Eldon Knudson Invitational","custer","2025-09-18",3,1,0,0,,
"Clyde Cotton XC Invite","huron","2025-09-20",3,1,0,0,,
"Lyman Raider Nation Inivtational","lyman","2025-09-20",3,1,1,0,,
"Alcester - Hudson XC Invite","alcester","2025-09-22",4,1,0,0,,
"Bon Homme XC Invite","bon_homme","2025-09-22",4,1,0,0,,
"Dell Rapids XC Invite","dell_rapids","2025-09-22",4,1,0,0,,
"Deuel Invite","deuel","2025-09-22",4,1,0,0,,
"Humboldt XC Meet","humboldt","2025-09-22",4,1,0,0,,
"Conference 281","wessington281","2025-09-24",4,1,0,0,,
"Cornbelt Conference","cornbelt_conference","2025-09-24",4,1,0,0,,
"Jones County Invite","murdo","2025-09-24",4,1,0,0,,
"Lakeside Invitational","faulkton","2025-09-24",4,1,0,0,,
"Brookings Russ Strande XC Invite","brookings","2025-09-25",4,1,0,0,,
"Clark-Willlow Lake Invite","clark","2025-09-25",4,1,0,0,,
"Union County Cross Country Quad","elk_point","2025-09-25",4,1,0,0,,
"Yankton Invite","yankton","2025-09-25",4,1,0,0,,
"Rapid City Inivational","rapid_city","2025-09-26",4,1,0,0,,
"Castlewood Invite","castlewood","2025-09-27",4,1,0,0,,
"Platte-Geddes Invite","platte_geddes","2025-09-27",4,1,0,0,,
"Lemmon Invitational","lemmon","2025-09-29",5,1,0,0,,
"EPJ Huskies Invitational","elk_point_huskies","2025-09-29",5,1,0,0,,
"Groton Invitational","groton","2025-09-29",5,1,0,0,,
"Miller","miller","2025-09-29",5,1,0,0,,
"Sioux Valley Invite","sioux_valley","2025-09-30",5,1,0,0,,
"Todd County Invite","todd_county","2025-09-30",5,1,0,0,,
"Colman/Egan Invite","coleman_egan","2025-10-01",5,1,0,0,,
"Cougar Invitational","burke","2025-10-02",5,1,0,0,,
"Lennox XC Invite","lennox","2025-10-02",5,1,0,0,,
"Sturgis Invitational","sturgis","2025-10-02",5,1,0,0,,
"Watoma XC Invite","watertown","2025-10-02",5,1,0,0,,
"Phillip Invitational","phillip_invite","2025-10-03",5,1,0,0,,
"Action Club XC Meet","highmore","2025-10-04",5,1,0,0,,
"Lakota Nation Invitational","lni","2025-10-04",5,1,0,0,,
"ECC Conference","ecc","2025-10-06",6,1,0,0,,
"Howard Invite","howard","2025-10-06",6,1,0,0,,
"LCC Conference","lcc","2025-10-06",6,1,1,0,,
"SESD Conference","sesd","2025-10-06",6,1,0,0,,
"Wall Invitational","wall","2025-10-07",6,1,0,0,,
"Gettysburg Pre Region","gettysburg_pre","2025-10-08",6,1,0,0,,
"Dakota Valley Conference","dakota_valley_conf","2025-10-08",6,1,0,0,,
"Irene-Wakonda Invite","irene","2025-10-08",6,1,0,0,,
"Lake Region Conference","lake_region_conf","2025-10-08",6,1,0,0,,
"Big East Conference","big_east","2025-10-09",6,1,0,0,,
"Black Hills Conference","black_hills_conf","2025-10-09",6,1,0,0,,
"Cheyenne Eagle Butte Invitational","ceb","2025-10-09",6,1,0,0,,
"Dakota 12 Conference","dakota12","2025-10-09",6,1,0,0,,
"Ethan/Parkston","ethan_parkston","2025-10-09",6,1,0,0,,
"Northeast Conference","nec","2025-10-09",6,1,0,0,,
"ESD Conference","esd","2025-10-11",6,1,0,0,,
"SDHSAA Region 1A","region1a","2025-10-15",7,1,0,0,,
"SDHSAA Region 1B","region1b","2025-10-15",7,1,0,0,,
"SDHSAA Region 2A","region2a","2025-10-15",7,1,0,0,,
"SDHSAA Region 2B","region2b","2025-10-15",7,1,0,0,,
"SDHSAA Region 3B","region3b","2025-10-15",7,1,0,0,,
"SDHSAA Region 4B","region4b","2025-10-15",7,1,0,0,,
"SDHSAA Region 5B","region5b","2025-10-15",7,1,0,0,,
"Metro Conference","metro_conference","2025-10-16",7,1,0,0,,
"Roger Loecker XC Invite","huron_roger","2025-10-16",7,1,1,0,,
"Best of West XC Meet","best_west","2025-10-16",7,1,0,0,,
"SDHSAA Region 3A","region3a","2025-10-16",7,1,0,1,"https://sd.milesplit.com/meets/714254-sdhsaa-region-3a-cross-country-meet-2025/results/1232053/raw","https://sd.milesplit.com/meets/714254-sdhsaa-region-3a-cross-country-meet-2025/results/1232054/raw"
"SDHSAA Region 4A","region4a","2025-10-16",7,1,0,0,,
"SDHSAA Region 5A","region5a","2025-10-16",7,1,0,0,,
"SDHSAA State A","sdhsaa_a","2025-10-25",8,1,0,0,,
"SDHSAA State B","sdhsaa_b","2025-10-25",8,1,0,0,,
"SDHSAA State AA","sdhsaa_aa","2025-10-25",8,1,0,0,,
